,DSSTox_CID,FW,Formula,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles,smiles_parent,NumAtoms
0,25848,468.9806 (35.4535+224.2805+209.2465),C27H25ClN6,,,,,,,,,,0.0,,,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,17
1,5234,691.8542 (645.8757+22.9892+22.9892),C20H6Br4Na2O5,,,,,,,,,,0.0,,,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+],O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,29
2,28909,934.1584 (916.1205+18.0379),C47H83NO17,,,,,,,,,,0.0,,,CO[C@H]1CC(O[C@H]2C[C@H]([C@H]3O[C@](C)(O)[C@H](C)C[C@@H]3C)O[C@H]2[C@]2(C)CC[C@H]([C@]3(C)CC[C@]4(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H]5O[C@](O)(CC(=O)[O-])[C@@H](C)[C@H](OC)[C@H]5OC)O4)O3)O2)O[C@@H](C)[C@@H]1OC.[NH4+],CO[C@H]1CC(O[C@H]2C[C@H]([C@H]3O[C@](C)(O)[C@H](C)C[C@@H]3C)O[C@H]2[C@]2(C)CC[C@H]([C@]3(C)CC[C@]4(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H]5O[C@](O)(CC(=O)O)[C@@H](C)[C@H](OC)[C@H]5OC)O4)O3)O2)O[C@@H](C)[C@@H]1OC,64
3,5513,927.0048 (329.4575+89.0275+89.0275+329.4575+90.0349),C52H54N4O12,,,,,,,,,,1.0,,,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,25
4,26683,1342.5025 (1282.4505+60.0520),C66H87N17O14,0.0,,,,,,,,,,,,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,93
5,25638,337.5630,C20H35NOS,,,,,,,,,,1.0,,,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,23
6,31427,351.7095,C7H5HgNO3,,,,,,,,,,1.0,,,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,Cc1ccc([N+](=O)[O-])c([Hg+])c1[O-],12
7,1322,296.5392,C10H20N2S4,,,,,,,,,,1.0,,,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC,16
8,26837,419.0430 (382.5820+36.4609),C25H39ClN2O,0.0,,,,,,,,,,,,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12,28
9,24204,568.5506 (495.6287+36.4609+36.4609),C29H40Cl2FN3O3,0.0,,,,,,,,,,,,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,36
10,25881,581.7117 (508.7898+36.4609+36.4609),C26H58Cl2N10,0.0,,,,,,,,,,,,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC,36
11,28991,441.8959 (405.4350+36.4609),C22H26ClF2NO4,,,,,,,,,,0.0,,,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,29
12,25889,365.3365,C21H26Cl2O,,,,,,,,0.0,,,,,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,24
13,25955,301.3867,C16H23N5O,,,,,,,,0.0,,,,,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,22
14,6190,223.4837,C8H5Cl3O,,,,,,,,1.0,,,,,O=C(CCl)c1ccc(Cl)cc1Cl,O=C(CCl)c1ccc(Cl)cc1Cl,12
15,23765,584.6525,C29H44O12,,,,,,,,,,0.0,,,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,41
16,24367,336.3943 (256.4898+79.9045),C17H38BrN,,,,,,,,1.0,,,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],CCCCCCCCCCCCCC[N+](C)(C)C,18
17,13468,414.4631 (334.5586+79.9045),C22H40BrNO,0.0,,,,,,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,24
18,13307,384.4371 (304.5326+79.9045),C21H38BrN,,,,,,,,1.0,,,,,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],CCCCCCCCCCCCCCCC[n+]1ccccc1,22
19,653,407.9788 (372.5253+35.4535),C25H30ClN3,,,,,,,,,,1.0,,,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,28
20,120,582.6463,C33H34N4O6,,,,,,,,1.0,,,,,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,43
21,25943,492.1402 (63.0128+429.1273),C18H14Cl4N4O4,,,,,,,,,,1.0,,,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,26
22,2880,337.4553,C22H27NO2,,,,,,,,,,0.0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,25
23,28973,538.4584,C23H25F7N4O3,,,,,,,,0.0,,,,,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,37
24,25204,332.3289,C20H14NO4,,,,,,,,,,1.0,,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,25
25,25583,268.3520 (207.2689+61.0831),C14H24N2O3,,,,,,,,,,1.0,,,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,Cc1cc(C2CCCCC2)n(O)c(=O)c1,15
26,3363,479.5250,C26H29N3O6,,,,,,,,,,1.0,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,35
27,796,683.6213 (610.6994+36.4609+36.4609),C35H40Cl2N4O6,,,,,,,,,,0.0,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,45
28,25359,345.9293 (309.4683+36.4609),C20H24ClNS,,,,,,,,,,0.0,,,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,22
29,27796,414.7731 (378.3122+36.4609),C17H17ClF6N2O,,,,,,,,,,0.0,,,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,26
30,14181,510.0442 (473.5833+36.4609),C28H28ClNO4S,,,,,,,,,,0.0,,,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,34
31,1333,208.3679,C6H12N2S3,,,,,,,,,,1.0,,,CN(C)C(=S)SC(=S)N(C)C,CN(C)C(=S)SC(=S)N(C)C,11
32,1332,240.4329,C6H12N2S4,,,,,,,,,,1.0,,,CN(C)C(=S)SSC(=S)N(C)C,CN(C)C(=S)SSC(=S)N(C)C,12
33,2808,318.8642,C17H19ClN2S,,,,,,,,,,0.0,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,21
34,110,458.5703,C28H31FN4O,0.0,,,,,,,,,,,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,34
35,31625,414.4086,C21H22N2O7,,,,,,,,,,0.0,,,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,30
36,26274,361.3923 (253.2991+90.0779+18.0153),C18H23N3O5,,,,,,,,,,1.0,,,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O,CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,19
37,31470,627.7332,C34H41N7O5,,,,,,,,,,0.0,,,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,46
38,2897,943.0791,C47H74O19,,,,,,,,,,0.0,,,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1,66
